T,time,fs,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
18.961541891098022,2026-05-27T11:50:47.974Z,199.44384213029005,-5.4527119200000005,-3.5952472800000006,7.362836640000001,-37.24,-16.1,207.06000000000003
18.96655583381653,2026-05-27T11:50:47.979Z,199.44384213029005,-5.155900560000001,-3.1883284800000005,7.688371680000001,-40.46,-7.000000000000001,217.63000000000002
18.971570014953613,2026-05-27T11:50:47.984Z,199.43435880367076,-5.13675144,-3.1691793600000002,7.831990080000001,-37.45,21.98,223.79000000000002
18.97658395767212,2026-05-27T11:50:47.989Z,199.44384213029005,-5.433562800000001,-2.8915171200000005,7.899012000000001,-34.440000000000005,31.710000000000004,232.40000000000003
18.981597900390625,2026-05-27T11:50:47.994Z,199.44384213029005,-5.433562800000001,-2.8915171200000005,7.899012000000001,-34.440000000000005,31.710000000000004,232.40000000000003
18.98661184310913,2026-05-27T11:50:47.999Z,199.44384213029005,-5.955376320000001,-2.22129792,7.439433120000001,-28.910000000000004,36.68000000000001,249.20000000000002
18.991626024246216,2026-05-27T11:50:48.004Z,199.43435880367076,-6.14208024,-2.1303396,7.195281840000001,-27.090000000000003,35.7,255.64000000000001
18.99663996696472,2026-05-27T11:50:48.009Z,199.44384213029005,-6.3383587200000004,-1.8622519200000003,7.01815248,-26.740000000000002,32.480000000000004,259.63000000000005
19.001653909683228,2026-05-27T11:50:48.014Z,199.44384213029005,-6.548999040000001,-1.6037388000000001,6.8793213600000005,-29.19,27.720000000000002,263.48
19.006667852401733,2026-05-27T11:50:48.019Z,199.44384213029005,-6.774001200000001,-1.6037388000000001,6.88889592,-33.18,21.910000000000004,270.83000000000004
19.01168203353882,2026-05-27T11:50:48.024Z,199.43435880367076,-6.745277520000001,-1.6994844000000002,6.936768720000001,-37.52,14.980000000000002,281.26000000000005
19.016695976257324,2026-05-27T11:50:48.029Z,199.44384213029005,-6.778788480000001,-1.7665063200000002,6.754852080000001,-41.370000000000005,10.22,293.3
19.02170991897583,2026-05-27T11:50:48.034Z,199.44384213029005,-6.8362358400000005,-1.67076072,6.692617440000001,-44.45,9.38,305.20000000000005
19.026723861694336,2026-05-27T11:50:48.039Z,199.44384213029005,-6.855384960000001,-1.6611861600000002,6.841023120000001,-45.150000000000006,6.16,333.55
